match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside,opp_passes,directness,verticality,cross_share,ppda_like,direct_press_share,press_inside_share
1,11 June 2026 - Mexico City Stadium - 13:00,Mexico,South Africa,home,57.1,6.8,2.0,1.78,16.0,4.0,547.0,495.0,90.0,105.0,10.0,117.0,13.0,23.0,170.0,26.0,31.0,56.0,107.3,1.57,14.38,79.0,29.0,96.0,351.0,0.19195612431444242,0.21389396709323583,0.1111111111111111,2.0647058823529414,0.15294117647058825,0.232
1,11 June 2026 - Mexico City Stadium - 13:00,South Africa,Mexico,away,36.1,6.8,0.0,0.1,3.0,2.0,351.0,290.0,83.0,57.0,3.0,36.0,8.0,8.0,306.0,45.0,32.0,45.0,97.1,1.43,22.45,141.0,54.0,168.0,547.0,0.1623931623931624,0.10256410256410256,0.2222222222222222,1.7875816993464053,0.14705882352941177,0.24324324324324326
2,11 June 2026 - Guadalajara Stadium - 20:00,South Korea,Czechia,home,55.8,10.1,2.0,1.77,15.0,6.0,542.0,483.0,89.0,92.0,10.0,125.0,17.0,27.0,147.0,22.0,30.0,49.0,111.8,1.7,12.78,57.0,23.0,77.0,327.0,0.16974169741697417,0.23062730627306274,0.136,2.2244897959183674,0.14965986394557823,0.23
2,11 June 2026 - Guadalajara Stadium - 20:00,Czechia,South Korea,away,34.2,10.1,1.0,0.64,7.0,4.0,327.0,241.0,74.0,54.0,5.0,77.0,15.0,10.0,301.0,54.0,40.0,78.0,117.6,1.61,18.42,138.0,41.0,175.0,542.0,0.1651376146788991,0.23547400611620795,0.19480519480519481,1.8006644518272426,0.17940199335548174,0.18981481481481483
3,12 June 2026 - Toronto Stadium - 15:00,Canada,Bosnia and Herzegovina,home,52.8,17.3,1.0,1.49,13.0,4.0,412.0,316.0,77.0,84.0,16.0,143.0,30.0,30.0,160.0,38.0,50.0,94.0,111.3,1.33,8.51,65.0,24.0,87.0,279.0,0.20388349514563106,0.3470873786407767,0.2097902097902098,1.74375,0.2375,0.21621621621621623
3,12 June 2026 - Toronto Stadium - 15:00,Bosnia and Herzegovina,Canada,away,29.9,17.3,1.0,0.76,8.0,3.0,279.0,186.0,67.0,61.0,4.0,51.0,8.0,22.0,203.0,35.0,51.0,79.0,109.5,1.49,12.03,81.0,33.0,100.0,412.0,0.21863799283154123,0.1827956989247312,0.1568627450980392,2.0295566502463056,0.1724137931034483,0.24812030075187969
4,12 June 2026 - Los Angeles Stadium - 18:00,USA,Paraguay,home,59.5,11.8,4.0,1.88,16.0,6.0,602.0,520.0,86.0,129.0,25.0,201.0,23.0,52.0,204.0,39.0,50.0,101.0,119.9,1.37,11.23,96.0,32.0,114.0,316.0,0.21428571428571427,0.3338870431893688,0.11442786069651742,1.5490196078431373,0.19117647058823528,0.2191780821917808
4,12 June 2026 - Los Angeles Stadium - 18:00,Paraguay,USA,away,28.7,11.8,1.0,0.6,9.0,1.0,316.0,234.0,74.0,53.0,3.0,31.0,5.0,17.0,360.0,75.0,49.0,55.0,114.3,1.47,17.37,169.0,47.0,233.0,602.0,0.16772151898734178,0.0981012658227848,0.16129032258064516,1.6722222222222223,0.20833333333333334,0.16785714285714284
5,13 June 2026 - Boston Stadium - 21:00,Haiti,Scotland,home,51.6,7.9,0.0,0.7,15.0,2.0,431.0,378.0,88.0,84.0,4.0,116.0,26.0,24.0,185.0,35.0,29.0,53.0,113.7,1.52,14.86,79.0,29.0,108.0,397.0,0.19489559164733178,0.2691415313225058,0.22413793103448276,2.145945945945946,0.1891891891891892,0.2116788321167883
5,13 June 2026 - Boston Stadium - 21:00,Scotland,Haiti,away,40.5,7.9,1.0,0.91,9.0,2.0,397.0,324.0,82.0,86.0,6.0,77.0,16.0,21.0,230.0,39.0,35.0,52.0,117.6,1.85,21.55,99.0,33.0,150.0,431.0,0.21662468513853905,0.19395465994962216,0.2077922077922078,1.873913043478261,0.16956521739130434,0.18032786885245902
6,13 June 2026 - BC Place Vancouver - 21:00,Australia,Türkiye,home,27.0,10.1,2.0,0.99,9.0,4.0,293.0,224.0,76.0,56.0,10.0,68.0,14.0,22.0,384.0,57.0,35.0,62.0,116.6,1.61,23.57,197.0,56.0,243.0,722.0,0.19112627986348124,0.23208191126279865,0.20588235294117646,1.8802083333333333,0.1484375,0.18729096989966554
6,13 June 2026 - BC Place Vancouver - 21:00,Türkiye,Australia,away,62.9,10.1,0.0,1.66,30.0,7.0,722.0,663.0,92.0,132.0,15.0,348.0,28.0,38.0,170.0,31.0,30.0,87.0,112.5,1.51,10.66,77.0,35.0,98.0,293.0,0.18282548476454294,0.481994459833795,0.08045977011494253,1.723529411764706,0.18235294117647058,0.2631578947368421
7,13 June 2026 - New York/New Jersey Stadium - 18:00,Brazil,Morocco,home,46.7,8.1,1.0,0.99,12.0,5.0,514.0,457.0,89.0,89.0,11.0,100.0,19.0,30.0,315.0,54.0,41.0,56.0,113.7,1.58,18.03,133.0,57.0,187.0,503.0,0.17315175097276264,0.19455252918287938,0.19,1.596825396825397,0.17142857142857143,0.2336065573770492
7,13 June 2026 - New York/New Jersey Stadium - 18:00,Morocco,Brazil,away,45.2,8.1,1.0,1.33,14.0,3.0,503.0,431.0,86.0,81.0,5.0,149.0,14.0,49.0,285.0,41.0,50.0,79.0,114.9,1.59,16.83,145.0,33.0,189.0,514.0,0.1610337972166998,0.2962226640159046,0.09395973154362416,1.8035087719298246,0.14385964912280702,0.14864864864864866
